Código;Nome do Cargo;Senioridade;Região;Segmento;Data;Horas;Dados Estatísticos - Empresas;Dados Estatísticos - Salários;Menor Salário;1o Quartil;Média;Mediana;3o Quartil;Maior Salário
438;Analista de Pré-vendas (SDR);Sênior;Nacional;TI - Software;2025;200;8;11;3347,80;3504,80;3867,27;3562,97;3783,31;5239,04
1015;Analista de Product Marketing (PMM);Indiferente;Nacional;TI - Software;2025;200;11;15;4518,84;5622,33;6662,07;6391,91;7994,83;9159,16
1015;Analista de Product Marketing (PMM);Pleno;Nacional;TI - Software;2025;200;5;6;5541,29;5725,81;6359,25;5793,17;7023,84;7890,48
375;Analista de Produto;Indiferente;Nacional;TI - Software;2025;200;11;49;3874,93;5294,43;6646,25;6546,29;7758,25;10966,37
375;Analista de Produto;Júnior;Nacional;TI - Software;2025;200;5;17;3874,93;4705,17;4972,14;5284,38;5294,43;5633,85
375;Analista de Produto;Pleno;Nacional;TI - Software;2025;200;7;18;5541,29;6620,21;6982,59;7072,63;7474,90;8060,06
375;Analista de Produto;Sênior;Nacional;TI - Software;2025;200;4;9;8277,19;8966,82;9425,51;9067,57;9269,07;11252,43
375;Analista de Produto;Especialista;Nacional;TI - Software;2025;200;4;7;6330,51;7089,41;12070,35;14414,86;15716,57;18135,14
18;Analista de Projetos;Indiferente;Nacional;TI - Software;2025;200;23;84;2770,65;3610,83;4817,05;4432,60;5822,78;7832,45
18;Analista de Projetos;Júnior;Nacional;TI - Software;2025;200;9;31;2975,51;3501,70;3727,18;3628,59;3883,27;4562,31
18;Analista de Projetos;Pleno;Nacional;TI - Software;2025;200;9;14;3828,53;4066,30;4763,94;4767,78;5446,75;5757,76
18;Analista de Projetos;Sênior;Nacional;TI - Software;2025;200;8;15;6196,17;6344,99;7269,88;7432,10;7832,45;9918,22
439;Analista de Prospecção (BDR);Indiferente;Nacional;TI - Software;2025;200;8;13;2462,80;3224,02;3415,23;3224,02;3934,38;4346,95
439;Analista de Prospecção (BDR);Júnior;Nacional;TI - Software;2025;200;4;6;2289,79;2381,38;2662,61;2381,38;2930,24;3428,54
439;Analista de Prospecção (BDR);Pleno;Nacional;TI - Software;2025;200;6;10;2350,36;2653,10;3204,07;3224,02;3273,63;4346,95
50;Analista de Qualidade e Processos;Indiferente;Nacional;TI - Software;2025;200;13;45;4197,84;5258,67;5888,50;5937,47;7004,92;7020,93
50;Analista de Qualidade e Processos;Júnior;Nacional;TI - Software;2025;200;5;9;3167,54;3167,54;3875,12;4197,84;4441,18;4617,41
50;Analista de Qualidade e Processos;Pleno;Nacional;TI - Software;2025;200;8;22;3918,88;4936,79;5506,78;5937,47;5937,47;6869,37
50;Analista de Qualidade e Processos;Sênior;Nacional;TI - Software;2025;200;5;18;6293,50;7020,93;7529,59;7020,93;8006,34;9171,29
359;Analista de Recrutamento e Seleção;Indiferente;Nacional;TI - Software;2025;200;16;46;4386,32;5253,84;8634,28;11123,45;11123,45;11123,45
359;Analista de Recrutamento e Seleção;Júnior;Nacional;TI - Software;2025;200;4;6;2438,63;2470,11;3340,00;3125,22;4263,59;4456,16
359;Analista de Recrutamento e Seleção;Pleno;Nacional;TI - Software;2025;200;12;13;2767,05;3600,75;4319,40;4579,58;4798,59;5853,62
359;Analista de Recrutamento e Seleção;Sênior;Nacional;TI - Software;2025;200;5;22;5279,86;7688,22;9670,12;11123,45;11123,45;11123,45
52;Analista de Recursos Humanos;Indiferente;Nacional;TI - Software;2025;200;43;58;3114,11;3562,77;4301,25;4388,91;5032,78;5698,47
52;Analista de Recursos Humanos;Júnior;Nacional;TI - Software;2025;200;14;14;2892,25;3047,69;3236,39;3223,72;3361,75;3662,36
52;Analista de Recursos Humanos;Pleno;Nacional;TI - Software;2025;200;25;37;3454,31;4487,99;4868,02;4819,83;5283,99;6480,41
52;Analista de Recursos Humanos;Sênior;Nacional;TI - Software;2025;200;6;7;5037,54;5468,76;5993,85;6054,11;6560,34;6807,11
376;Analista de Relacionamento;Indiferente;Nacional;TI - Software;2025;200;35;298;3307,14;4044,45;4590,74;4044,45;5647,08;5843,54
376;Analista de Relacionamento;Júnior;Nacional;TI - Software;2025;200;22;156;2708,18;3641,19;3794,90;4044,45;4044,45;4855,09
376;Analista de Relacionamento;Pleno;Nacional;TI - Software;2025;200;22;136;3630,87;4630,76;5162,61;5647,08;5647,08;5647,08
376;Analista de Relacionamento;Sênior;Nacional;TI - Software;2025;200;13;22;4736,69;5495,50;6015,49;5762,22;6818,30;7282,26
362;Analista de Remuneração e Benefícios;Indiferente;Nacional;TI - Software;2025;200;5;5;5244,38;5273,06;5908,62;6045,05;6386,03;6594,59
796;Analista de Requisitos;Indiferente;Nacional;TI - Software;2025;200;9;45;3731,01;4077,78;5108,16;4770,61;5845,49;7056,28
796;Analista de Requisitos;Júnior;Nacional;TI - Software;2025;200;5;7;3884,95;4440,40;5813,73;6942,35;6965,88;7056,28
796;Analista de Requisitos;Pleno;Nacional;TI - Software;2025;200;4;17;3731,01;3731,01;4257,51;4077,78;4077,78;5730,70
796;Analista de Requisitos;Sênior;Nacional;TI - Software;2025;200;4;25;4770,61;4770,61;6053,63;5845,49;6365,51;9057,60
894;Analista de Sales Ops;Indiferente;Nacional;TI - Software;2025;200;6;8;3227,67;3741,52;4340,25;4566,21;4951,08;5159,07
894;Analista de Sales Ops;Júnior;Nacional;TI - Software;2025;200;4;4;2564,56;3061,89;3353,32;3326,60;3618,02;4195,50
894;Analista de Sales Ops;Pleno;Nacional;TI - Software;2025;200;4;6;3846,85;4936,92;5035,93;4965,25;5117,70;6342,26
889;Analista de Segurança da Informação;Indiferente;Nacional;TI - Software;2025;200;6;8;3053,05;3053,05;4413,24;4185,40;4952,11;7814,79
22;Analista de Sistemas;Indiferente;Nacional;TI - Software;2025;200;27;193;4918,80;6928,63;8078,77;8084,63;9387,41;10652,83
22;Analista de Sistemas;Júnior;Nacional;TI - Software;2025;200;14;45;3982,61;4116,35;4916,31;4880,46;5437,79;6301,34
22;Analista de Sistemas;Pleno;Nacional;TI - Software;2025;200;17;69;5601,76;6831,05;7479,25;7351,43;8084,63;9539,82
22;Analista de Sistemas;Sênior;Nacional;TI - Software;2025;200;14;70;8163,18;8937,66;9852,17;9666,48;10501,31;12690,09
1009;Analista de SRE;Indiferente;Nacional;TI - Software;2025;200;4;12;3598,74;4649,71;7087,64;5631,36;7477,01;19576,88
30;Analista de Tecnologia da Informação;Indiferente;Nacional;TI - Software;2025;200;7;12;3114,84;3320,20;4128,34;4122,01;4579,58;5835,17
30;Analista de Tecnologia da Informação;Júnior;Nacional;TI - Software;2025;200;5;7;3114,84;3160,27;3530,05;3358,36;3827,72;4261,13
29;Analista de Testes (Qualidade em TI);Indiferente;Nacional;TI - Software;2025;200;62;330;2327,34;3558,65;4852,78;4396,40;5765,97;9501,69
29;Analista de Testes (Qualidade em TI);Júnior;Nacional;TI - Software;2025;200;33;89;2673,92;2969,75;3299,36;3145,77;3663,66;4128,51
29;Analista de Testes (Qualidade em TI);Pleno;Nacional;TI - Software;2025;200;35;145;3356,63;4103,13;5141,91;4950,86;5487,15;9501,69
29;Analista de Testes (Qualidade em TI);Sênior;Nacional;TI - Software;2025;200;16;55;5452,62;6677,35;7155,39;6776,82;7303,18;9266,05
379;Analista de Treinamento e Desenvolvimento;Indiferente;Nacional;TI - Software;2025;200;12;20;3526,28;4139,18;4643,32;4495,05;5328,07;5840,71
379;Analista de Treinamento e Desenvolvimento;Júnior;Nacional;TI - Software;2025;200;6;7;2564,56;3158,15;3242,68;3216,84;3457,58;3685,88
379;Analista de Treinamento e Desenvolvimento;Pleno;Nacional;TI - Software;2025;200;7;10;3617,87;4210,66;4935,35;4811,46;5785,58;6298,47
379;Analista de Treinamento e Desenvolvimento;Sênior;Nacional;TI - Software;2025;200;5;7;4396,40;4495,05;5131,49;5304,95;5467,85;6293,25
177;Analista Educacional;Indiferente;Nacional;TI - Software;2025;200;4;37;4798,76;5778,06;6874,67;6699,72;7761,90;8320,00
16;Analista Financeiro;Indiferente;Nacional;TI - Software;2025;200;46;92;2921,77;3662,87;4313,91;4247,65;4938,92;6357,13
16;Analista Financeiro;Júnior;Nacional;TI - Software;2025;200;19;21;2682,78;2845,49;3186,05;3203,87;3425,53;3669,44
16;Analista Financeiro;Pleno;Nacional;TI - Software;2025;200;32;49;3526,28;3817,54;4349,37;4284,93;4561,58;6268,10
16;Analista Financeiro;Sênior;Nacional;TI - Software;2025;200;13;15;4989,28;5207,31;5646,29;5381,50;5793,17;7438,75
381;Analista Jurídico;Indiferente;Nacional;TI - Software;2025;200;11;23;2386,46;2887,65;3530,55;3337,85;4009,65;6344,99
381;Analista Jurídico;Júnior;Nacional;TI - Software;2025;200;5;10;2386,46;2386,46;2794,99;2567,11;3056,47;3973,61
133;Arquiteto de Software;Indiferente;Nacional;TI - Software;2025;200;21;36;8166,25;10976,36;12697,99;12312,43;14384,23;17900,39
133;Arquiteto de Software;Júnior;Nacional;TI - Software;2025;200;5;6;4030,03;4763,60;7167,34;6002,76;9774,40;11586,34
133;Arquiteto de Software;Pleno;Nacional;TI - Software;2025;200;5;6;8924,06;10330,71;11054,71;10353,10;11675,09;14258,98
133;Arquiteto de Software;Sênior;Nacional;TI - Software;2025;200;10;19;10932,45;12201,26;13553,99;12552,69;14766,53;17946,23
59;Assistente Administrativo;Indiferente;Nacional;TI - Software;2025;200;32;59;1968,09;2297,30;2492,08;2480,48;2637,70;3236,11
59;Assistente Administrativo;Júnior;Nacional;TI - Software;2025;200;10;14;1811,68;1954,63;2155,42;1968,09;2441,93;2690,02
59;Assistente Administrativo;Pleno;Nacional;TI - Software;2025;200;5;9;2293,45;2511,84;2854,21;2511,84;2511,84;4513,63
62;Assistente Comercial;Indiferente;Nacional;TI - Software;2025;200;15;30;1881,62;1884,50;2165,68;2017,53;2469,04;2845,45
62;Assistente Comercial;Júnior;Nacional;TI - Software;2025;200;5;6;1811,68;1961,03;2160,30;2140,38;2406,46;2472,97
273;Assistente Contábil;Indiferente;Nacional;TI - Software;2025;200;5;6;2015,02;2484,42;2653,73;2640,21;2762,27;3391,48
319;Assistente de Atendimento e Suporte;Indiferente;Nacional;TI - Software;2025;200;39;167;1811,68;2015,02;2292,54;2279,82;2566,65;2815,42
319;Assistente de Atendimento e Suporte;Júnior;Nacional;TI - Software;2025;200;18;44;1645,60;1922,32;2147,01;2158,81;2217,40;2815,42
319;Assistente de Atendimento e Suporte;Pleno;Nacional;TI - Software;2025;200;8;59;1819,56;2494,36;2590,35;2588,29;2750,50;3074,02
319;Assistente de Atendimento e Suporte;Sênior;Nacional;TI - Software;2025;200;6;8;2110,97;2614,66;2926,21;3100,32;3278,93;3561,04
129;Assistente de Contratos;Indiferente;Nacional;TI - Software;2025;200;7;8;2153,04;2289,79;2713,15;2659,64;2848,39;3755,26
1068;Assistente de Customer Experience;Indiferente;Nacional;TI - Software;2025;200;6;10;1968,09;2095,67;2336,18;2385,34;2551,38;2656,16
68;Assistente de Departamento Pessoal;Indiferente;Nacional;TI - Software;2025;200;10;22;2019,59;2476,00;2619,08;2672,35;2908,55;3150,32
440;Assistente de Implantação e Configuração;Indiferente;Nacional;TI - Software;2025;200;7;19;1922,32;2444,81;2531,40;2592,34;2720,27;2766,67
69;Assistente de Infraestrutura de TI;Indiferente;Nacional;TI - Software;2025;200;12;19;1919,76;2151,51;2368,21;2289,79;2550,91;3103,93
69;Assistente de Infraestrutura de TI;Júnior;Nacional;TI - Software;2025;200;4;5;2198,20;2458,60;2810,20;2458,60;3428,67;3506,93
71;Assistente de Marketing;Indiferente;Nacional;TI - Software;2025;200;19;36;1715,50;2026,38;2259,48;2170,33;2482,42;3035,69
309;Assistente de Operações;Indiferente;Nacional;TI - Software;2025;200;4;48;1649,29;1877,49;2038,91;1978,52;2146,49;2756,54
441;Assistente de Pré-vendas (SDR);Indiferente;Nacional;TI - Software;2025;200;23;64;1831,83;2171,99;2429,45;2484,11;2562,71;3195,16
441;Assistente de Pré-vendas (SDR);Júnior;Nacional;TI - Software;2025;200;7;10;1831,83;2093,71;2211,22;2161,69;2415,13;2488,11
