Código;Nome do Cargo;Senioridade;Região;Segmento;Data;Horas;Dados Estatísticos - Empresas;Dados Estatísticos - Salários
892;Product Owner;Sênior;Nacional;TI - Software;2025;200;8;15
833;Produtor Audiovisual;Indiferente;Nacional;TI - Software;2025;200;8;16
833;Produtor Audiovisual;Júnior;Nacional;TI - Software;2025;200;4;6
833;Produtor Audiovisual;Pleno;Nacional;TI - Software;2025;200;5;10
84;Redator Técnico;Indiferente;Nacional;TI - Software;2025;200;9;10
84;Redator Técnico;Júnior;Nacional;TI - Software;2025;200;4;5
84;Redator Técnico;Pleno;Nacional;TI - Software;2025;200;7;7
893;Scrum Master;Indiferente;Nacional;TI - Software;2025;200;5;13
3;Secretária Executiva;Indiferente;Nacional;TI - Software;2025;200;4;14
3;Secretária Executiva;Pleno;Nacional;TI - Software;2025;200;4;5
1062;Team Lead;Indiferente;Nacional;TI - Software;2025;200;6;20
1063;Tech Recruiter;Indiferente;Nacional;TI - Software;2025;200;4;5
